"MODALITE";"TRAIT"
"GUILDE_H";"GUILDE"
"GUILDE_L";"GUILDE"
"GUILDE_M";"GUILDE"
"GUILDE_E";"GUILDE"
"ACIDOBI";"ACID_VD"
"ACIDOPH";"ACID_VD"
"NEUTRO";"ACID_VD"
"ALCALIPH";"ACID_VD"
"ALCALIB";"ACID_VD"
"ACID_INDIF";"ACID_VD"
"DOUCE";"SALIN_VD"
"DOUCE_SAUM";"SALIN_VD"
"MOD_SAUM";"SALIN_VD"
"SAUMATRE";"SALIN_VD"
"N_AUTO1";"NTROPH_VD"
"N_AUTO2";"NTROPH_VD"
"N_HETERO1";"NTROPH_VD"
"N_HETERO2";"NTROPH_VD"
"OX_HIGH";"OX_VD"
"OX_FORTE";"OX_VD"
"OX_MOD";"OX_VD"
"OX_LOW";"OX_VD"
"OX_VERYLOW";"OX_VD"
"OLIGOSAPROBE";"SAPROB_VD"
"B_MESO";"SAPROB_VD"
"A_MESO";"SAPROB_VD"
"A_MESO_POLY";"SAPROB_VD"
"POLYSAPROBE";"SAPROB_VD"
"OLIGOTROPH";"TROPH_VD"
"OLIGO_MESO";"TROPH_VD"
"MESO";"TROPH_VD"
"MESO_EUTRO";"TROPH_VD"
"EUTROPHE";"TROPH_VD"
"HYPEREUTRO";"TROPH_VD"
"TROPH_INDIF";"TROPH_VD"
"CENTRIQUES";"MORPHO"
"PENNEES_ARAPHIDEES";"MORPHO"
"PENNEES_MONORAPHIDEES";"MORPHO"
"PENNEES_BIRAPHIDEES";"MORPHO"
"PLANKTONIC";"PLANK_BENTH"
"BENTHIC";"PLANK_BENTH"
"MOB";"MOB"
"NO_MOB";"MOB"
"JAMAIS_ATTACH";"ATTACH"
"ATTACH_VU";"ATTACH"
"SOLITAIRE";"LIFE_FORM"
"COL_MUC";"LIFE_FORM"
"COL_ZIGZAG";"LIFE_FORM"
"COL_RUBAN";"LIFE_FORM"
"COL_ETOILE";"LIFE_FORM"
"COL_ARBUSCULE";"LIFE_FORM"
"C1";"SIZE"
"C2";"SIZE"
"C3";"SIZE"
"C4";"SIZE"
"C5";"SIZE"
"C6";"SIZE"
"C7";"SIZE"
"GF1";"FUNCTIONAL_GUILDS"
"GF2";"FUNCTIONAL_GUILDS"
"GF3";"FUNCTIONAL_GUILDS"
"GF4";"FUNCTIONAL_GUILDS"
